,Input Channel,Input Height/Width,Output Channel,Input Batch = 1 - Kernel (us),Input Batch = 1 - MIOpen (us),Speed Up (%),Input Batch = 8 - Kernel (us),Input Batch = 8 - MIOpen (us),Speed Up (%),Input Batch = 16 - Kernel (us),Input Batch = 16 - MIOpen (us),Speed Up (%),Input Batch = 32 - Kernel (us),Input Batch = 32 - MIOpen (us),Speed Up (%),Input Batch = 64 - Kernel (us),Input Batch = 64 - MIOpen (us),Speed Up (%),Input Batch = 128 - Kernel (us),Input Batch = 128 - MIOpen (us),Speed Up (%)
0,32,112,16,65.118,151.678,57.068,119.838,209.278,42.737,190.074,241.118,21.17,332.798,304.478,-9.301,613.918,460.638,-33.276,1180.798,780.958,-51.199
1,16,112,96,131.358,148.958,11.815,257.758,210.398,-22.51,457.278,299.038,-52.916,860.158,443.84,-93.799,1671.676,728.318,-129.526,3274.556,1538.078,-112.899
2,96,56,24,59.518,164.798,63.884,98.398,195.518,49.673,147.038,211.518,30.484,239.358,275.198,13.023,424.158,362.718,-16.939,797.438,547.038,-45.774
3,24,56,144,62.558,157.598,60.305,143.038,188.478,24.109,234.078,209.118,-11.936,408.638,284.638,-43.564,760.798,409.438,-85.815,1466.878,671.838,-118.338
4,144,56,24,62.558,172.638,63.763,112.638,212.798,47.068,173.758,235.998,26.373,297.758,299.838,0.694,539.998,432.318,-24.908,1021.278,707.518,-44.347
5,144,28,32,53.598,198.558,73.006,76.798,173.118,55.638,88.638,169.278,47.638,131.518,602.878,78.185,198.718,243.198,18.29,343.04,656.638,47.758
6,32,28,192,53.278,145.918,63.488,100.478,161.118,37.637,124.64,178.238,30.071,193.278,199.678,3.205,327.358,237.758,-37.685,565.918,320.798,-76.409
7,192,28,32,57.118,165.118,65.408,86.238,185.598,53.535,102.878,187.038,44.996,143.038,570.558,74.93,237.438,585.278,59.432,421.598,349.118,-20.761
8,144,28,40,55.358,177.438,68.801,92.318,178.718,48.344,109.118,191.198,42.929,147.198,214.718,31.446,240.638,262.878,8.46,424.158,382.558,-10.874
9,40,28,240,54.238,162.878,66.7,108.158,148.478,27.156,162.238,179.838,9.787,255.84,228.798,-11.819,464.478,292.798,-58.634,811.678,432.478,-87.681
10,240,28,40,58.718,176.158,66.667,104.798,178.558,41.309,131.358,210.078,37.472,186.398,243.198,23.355,317.918,342.878,7.28,575.678,525.438,-9.562
11,192,14,64,57.118,314.718,81.851,81.918,565.918,85.525,76.478,175.518,56.427,96.638,172.158,43.867,140.478,191.998,26.834,306.398,235.678,-30.007
12,64,14,384,54.078,161.278,66.469,101.438,157.598,35.635,116.478,179.518,35.116,177.598,204.638,13.214,301.118,254.398,-18.365,543.038,376.798,-44.119
13,384,14,64,60.96,321.598,81.045,90.398,499.198,81.891,103.038,190.718,45.974,134.718,176.158,23.524,212.478,239.838,11.408,360.478,360.478,0
14,384,14,96,64.478,333.758,80.681,119.998,511.038,76.519,116.158,205.918,43.59,175.68,259.198,32.222,314.238,335.838,6.432,534.238,491.998,-8.585
15,96,14,576,61.438,332.638,81.53,161.278,165.758,2.703,168.158,203.038,17.179,287.521,264.958,-8.516,526.242,359.518,-46.374,979.678,577.278,-69.706
16,576,14,96,71.518,358.718,80.063,134.878,604.958,77.705,199.198,226.718,12.138,230.558,290.078,20.519,419.678,425.598,1.391,713.918,652.158,-9.47
17,240,14,80,58.238,184.158,68.376,76.958,177.278,56.589,101.438,191.038,46.902,124.318,204.638,39.25,181.598,260.158,30.197,308.158,355.678,13.36
18,80,14,480,59.678,166.398,64.135,100.318,161.598,37.921,146.238,205.918,28.982,232.158,232.318,0.069,400.638,313.758,-27.69,734.558,484.158,-51.719
19,480,14,80,65.758,332.478,80.222,106.398,186.718,43.017,133.758,211.998,36.906,189.278,609.278,68.934,284.318,378.398,24.863,493.12,596.158,17.284
20,480,14,112,69.6,426.558,83.683,107.84,201.918,46.592,141.278,213.918,33.957,214.08,249.598,14.23,372.48,383.678,2.919,674.382,615.358,-9.592
21,112,14,672,61.598,156.958,60.755,134.398,186.078,27.773,215.038,227.038,5.285,364.8,313.118,-16.506,658.558,447.518,-47.158,1231.358,758.238,-62.397
22,672,14,112,70.398,213.118,66.968,118.078,212.638,44.47,174.718,231.998,24.69,274.558,315.678,13.026,478.558,471.518,-1.493,887.995,804.158,-10.425
23,576,7,160,58.718,318.558,81.568,109.438,547.038,79.994,127.358,211.038,39.652,160.798,232.318,30.785,258.558,295.358,12.459,456.638,364.478,-25.285
24,160,7,960,65.278,308.798,78.861,121.758,177.918,31.565,173.438,192.478,9.892,267.998,239.68,-11.815,493.44,325.118,-51.773,900.962,473.758,-90.173
25,960,7,160,65.76,318.398,79.347,127.998,517.118,75.248,160.478,604.798,73.466,226.398,279.518,19.004,378.078,328.478,-15.1,684.798,513.598,-33.333
26,960,7,320,80.638,340.958,76.35,154.078,256.638,39.963,246.878,288.958,14.563,369.278,337.918,-9.28,666.718,442.878,-50.542,1266.078,780.158,-62.285
27,320,7,1280,76.958,198.878,61.304,181.118,217.758,16.826,302.878,258.558,-17.141,549.438,355.358,-54.615,1035.358,639.838,-61.816,1988.317,830.398,-139.441
28,672,7,192,62.238,302.878,79.451,95.358,495.678,80.762,146.878,215.838,31.95,186.558,241.438,22.73,323.198,289.598,-11.602,594.558,407.838,-45.783
29,192,7,1152,73.918,182.238,59.439,132.958,178.88,25.672,214.398,213.118,-0.601,357.437,261.438,-36.72,669.758,396.798,-68.791,1250.398,532.158,-134.967
30,1152,7,192,69.598,334.878,79.217,132.8,756.958,82.456,221.278,260.958,15.206,314.238,297.598,-5.591,554.238,374.398,-48.034,1032.478,595.678,-73.328
31,1152,7,320,82.878,340.638,75.67,175.838,252.958,30.487,295.038,287.998,-2.444,473.278,360.478,-31.292,878.558,525.598,-67.154,1616.637,872.638,-85.259
,,,,,,69.6215625,,,46.37528125,,,24.30490625,,,7.2935625,,,-21.6471875,,,-46.416125
